classifier,class,precision,recall,f1,support
gpualert,cuda_oom,1.0,1.0,1.0,30
gpualert,nccl,1.0,1.0,1.0,30
gpualert,cuda_runtime,1.0,1.0,1.0,32
gpualert,ram_oom,1.0,1.0,1.0,32
gpualert,segfault,1.0,1.0,1.0,32
gpualert,file_not_found,1.0,1.0,1.0,32
gpualert,permission,1.0,1.0,1.0,32
gpualert,missing_module,1.0,1.0,1.0,32
gpualert,div_zero,1.0,1.0,1.0,32
gpualert,device_mismatch,1.0,1.0,1.0,32
gpualert,nan_loss,1.0,1.0,1.0,32
gpualert,oom_killer,1.0,1.0,1.0,30
gpualert,traceback,0.9697,1.0,0.9846,32
gpualert,assertion,1.0,0.9688,0.9841,32
gpualert,runtime_error,1.0,1.0,1.0,32
traceback,cuda_oom,1.0,1.0,1.0,30
traceback,nccl,0.0,0.0,0.0,30
traceback,cuda_runtime,0.0,0.0,0.0,32
traceback,ram_oom,1.0,0.9688,0.9841,32
traceback,segfault,0.0,0.0,0.0,32
traceback,file_not_found,1.0,1.0,1.0,32
traceback,permission,1.0,1.0,1.0,32
traceback,missing_module,1.0,1.0,1.0,32
traceback,div_zero,1.0,1.0,1.0,32
traceback,device_mismatch,0.0,0.0,0.0,32
traceback,nan_loss,0.0,0.0,0.0,32
traceback,oom_killer,0.0,0.0,0.0,30
traceback,traceback,1.0,1.0,1.0,32
traceback,assertion,1.0,1.0,1.0,32
traceback,runtime_error,0.254,1.0,0.4051,32
grep,cuda_oom,1.0,1.0,1.0,30
grep,nccl,1.0,1.0,1.0,30
grep,cuda_runtime,0.0,0.0,0.0,32
grep,ram_oom,1.0,0.9688,0.9841,32
grep,segfault,1.0,0.9688,0.9841,32
grep,file_not_found,1.0,1.0,1.0,32
grep,permission,1.0,1.0,1.0,32
grep,missing_module,1.0,0.9688,0.9841,32
grep,div_zero,1.0,1.0,1.0,32
grep,device_mismatch,0.0,0.0,0.0,32
grep,nan_loss,1.0,1.0,1.0,32
grep,oom_killer,1.0,1.0,1.0,30
grep,traceback,1.0,1.0,1.0,32
grep,assertion,1.0,1.0,1.0,32
grep,runtime_error,0.3333,1.0,0.5,32
exitcode,cuda_oom,0.0,0.0,0.0,30
exitcode,nccl,0.0,0.0,0.0,30
exitcode,cuda_runtime,0.0,0.0,0.0,32
exitcode,ram_oom,0.0,0.0,0.0,32
exitcode,segfault,1.0,1.0,1.0,32
exitcode,file_not_found,0.0,0.0,0.0,32
exitcode,permission,0.0,0.0,0.0,32
exitcode,missing_module,0.0,0.0,0.0,32
exitcode,div_zero,0.0,0.0,0.0,32
exitcode,device_mismatch,0.0,0.0,0.0,32
exitcode,nan_loss,0.0,0.0,0.0,32
exitcode,oom_killer,1.0,1.0,1.0,30
exitcode,traceback,0.0,0.0,0.0,32
exitcode,assertion,0.0,0.0,0.0,32
exitcode,runtime_error,0.0,0.0,0.0,32
